"Code: The Hidden Language of Computer Hardware and Software", "Charles Petzold", "1735611319"
"Understanding Computers: Today & Tomorrow, Comprehensive", "Deborah Morley", "1423925211"
"Logic and Computer Design Fundamentals", "M. Morris Mano", "1131678493"
